location,region
Abashiri,Hokkaidō
Akita,Honshū
Aomori,Honshū
Asahikawa,Hokkaidō
Choshi,Honshū
Fukui,Honshū
Fukuoka,Kyūshū
Fukushima,Honshū
Gifu,Honshū
Hakodate,Hokkaidō
Hikone,Honshū
Hiroshima,Honshū
Ishigaki Island,Kyūshū
Kagoshima,Kyūshū
Kanazawa,Honshū
Kobe,Honshū
Kochi,Shikoku
Kofu,Honshū
Kumagaya,Honshū
Kumamoto,Kyūshū
Kushiro,Hokkaidō
Kyoto,Honshū
Maebashi,Honshū
Matsue,Honshū
Matsuyama,Shikoku
Minami Daito Island,Kyūshū
Mito,Honshū
Miyakojima,Kyūshū
Miyazaki,Kyūshū
Morioka,Honshū
Muroran,Hokkaidō
Nagano,Honshū
Nagasaki,Kyūshū
Nagoya,Honshū
Naha,Kyūshū
Nara,Honshū
Naze,Kyūshū
Niigata,Honshū
Obihiro,Hokkaidō
Oita,Kyūshū
Okayama,Honshū
Osaka,Honshū
Saga,Kyūshū
Sapporo,Hokkaidō
Sendai,Honshū
Shimonoseki,Honshū
Shizuoka,Honshū
Takamatsu,Shikoku
Tokushima,Shikoku
Tokyo Japan,Honshū
Tottori,Honshū
Toyama,Honshū
Tsu,Honshū
Utsunomiya,Honshū
Wakayama,Honshū
Wakkanai,Hokkaidō
Yamagata,Honshū
Yokohama,Honshū
